"Route_Name,Route_Link,Bus_Name,Bus_Type,Departure_Time,Duration,Starting_Time,Star_Rating,Price,Seat_Availability"
"Kadapa to Hyderabad,https://www.redbus.in/bus-tickets/kadapa-to-hyderabad,APSRTC - 6031,Super Luxury (Non AC Seater 2+2 Push Back),2024-07-17 20:30:00,09h 10m,05:40,4.5,710.0,21"
"Kadapa to Hyderabad,https://www.redbus.in/bus-tickets/kadapa-to-hyderabad,APSRTC - 9235,Super Luxury (Non AC Seater 2+2 Push Back),2024-07-17 21:00:00,08h 25m,05:25,3.1,710.0,15"
"Kadapa to Hyderabad,https://www.redbus.in/bus-tickets/kadapa-to-hyderabad,APSRTC - 6067,STAR LINER(NON-AC SLEEPER 2+1),2024-07-17 21:00:00,08h 40m,05:40,4.2,920.0,4"
"Kadapa to Hyderabad,https://www.redbus.in/bus-tickets/kadapa-to-hyderabad,APSRTC - 6035,INDRA(A.C. Seater),2024-07-17 21:30:00,08h 20m,05:50,4.2,859.0,30"
"Kadapa to Hyderabad,https://www.redbus.in/bus-tickets/kadapa-to-hyderabad,APSRTC - 6033,Super Luxury (Non AC Seater 2+2 Push Back),2024-07-17 22:00:00,07h 50m,05:50,4.1,710.0,28"
"Kadapa to Hyderabad,https://www.redbus.in/bus-tickets/kadapa-to-hyderabad,APSRTC - 5651,Super Luxury (Non AC Seater 2+2 Push Back),2024-07-17 22:30:00,09h 25m,07:55,4.0,710.0,27"
"Kadapa to Hyderabad,https://www.redbus.in/bus-tickets/kadapa-to-hyderabad,APSRTC - 47143,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),2024-07-17 23:00:00,07h 05m,06:05,4.2,1091.0,32"
"Kadapa to Hyderabad,https://www.redbus.in/bus-tickets/kadapa-to-hyderabad,APSRTC - 5663,Super Luxury (Non AC Seater 2+2 Push Back),2024-07-17 23:15:00,07h 45m,07:00,3.4,678.0,30"
"Kadapa to Hyderabad,https://www.redbus.in/bus-tickets/kadapa-to-hyderabad,APSRTC - 9198,Super Luxury (Non AC Seater 2+2 Push Back),2024-07-17 23:30:00,07h 50m,07:20,3.0,678.0,20"
"Kadapa to Hyderabad,https://www.redbus.in/bus-tickets/kadapa-to-hyderabad,APSRTC - 5442,VENNELA (A.C. SLEEPER),2024-07-17 23:55:00,06h 30m,06:25,3.5,1271.0,18"
